,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-09-20,1.9283261841173387,1.8874172512347904,1.8783753083734587,1.7664768460402998,1.938177684078458,1.937344123511177,2.2825028569414925,2.192726253077762
2017-09-21,1.9283648206544095,1.8874550681078879,1.8784129440794055,1.7638564689359422,1.9374074578049094,1.9373829407344578,2.2763865743802723,2.188428062329479
2017-09-22,1.929580191300703,1.8886446549855398,1.8795968320706193,1.7632425086635597,1.939127772900581,1.938603995138468,2.2768431109579335,2.1853810728893253
2017-09-25,1.9214163395467272,1.8806539971995853,1.8716444546760715,1.7519712000553174,1.931929866042275,1.9304019646152861,2.272187968690499,2.1895131804179173
2017-09-26,1.9234118503565532,1.8826071737723626,1.8735882742765324,1.7547262743568173,1.9334950315672927,1.9324068075576584,2.2735567811189465,2.189106253509977
2017-09-27,1.9383955001281645,1.8972729493544873,1.888183791358718,1.7743948564831682,1.9474585493884582,1.9474605293153537,2.2824113263806893,2.190062386095152
2017-09-28,1.9397988588175648,1.8986465361583489,1.8895507977981225,1.776841886490849,1.9479356444588656,1.948870450900447,2.2851499080030266,2.1945122260494228
2017-09-29,1.9490738845980375,1.907724794706046,1.8985855656470805,1.7869770430242435,1.956291139845605,1.9581888519257582,2.2931817944438984,2.199575109729179
2017-10-02,1.9600742476493758,1.9184917879481387,1.9093009780648378,1.7959388239542695,1.9699102936918627,1.969240658870834,2.303131038834402,2.207431729134779
2017-10-03,1.9667112962074693,1.9249880332664913,1.9157661021889003,1.8011652213846385,1.976973174076564,1.9759087460063964,2.308060453862428,2.21081165953554
2017-10-04,1.9630736323873241,1.9214275415276532,1.9122226674960545,1.7964142298956995,1.9744069901250703,1.9722540704212628,2.310798876023859,2.2165216782884896
2017-10-05,1.9776789277907747,1.9357229894300374,1.9264496310063277,1.8143606498520495,1.9884151587421768,1.9869276684126584,2.3244901895264745,2.2266773219629195
2017-10-06,1.9793300651490273,1.9373390983434526,1.92805799771836,1.8167574547364784,1.9885387223822133,1.9885865274192247,2.321842660082217,2.2218621442036213
