,XLB
2008-06-06,14.880483627319336
2008-06-09,15.106202125549316
2008-06-10,14.914178848266602
2008-06-11,14.648031234741211
2008-06-12,14.641297340393066
2008-06-13,15.005134582519531
2008-06-16,14.991659164428711
2008-06-17,15.072521209716797
2008-06-18,14.97144889831543
2008-06-19,14.998404502868652
2008-06-20,14.694820404052734
2008-06-23,14.789583206176758
2008-06-24,14.508682250976562
2008-06-25,14.552692413330078
2008-06-26,14.193940162658691
2008-06-27,14.18040657043457
2008-06-30,14.122869491577148
2008-07-01,13.862281799316406
2008-07-02,13.270014762878418
2008-07-03,13.35124397277832
2008-07-07,13.418928146362305
2008-07-08,13.276785850524902
2008-07-09,13.300477981567383
2008-07-10,13.35124397277832
2008-07-11,13.341090202331543
2008-07-14,13.49000358581543
2008-07-15,13.35800838470459
2008-07-16,13.408769607543945
2008-07-17,13.493380546569824
2008-07-18,13.402005195617676
2008-07-21,13.679527282714844
2008-07-22,13.69982624053955
2008-07-23,13.527225494384766
2008-07-24,13.185409545898438
2008-07-25,13.205709457397461
2008-07-28,13.188793182373047
2008-07-29,13.449382781982422
2008-07-30,13.7675142288208
2008-07-31,13.665985107421875
2008-08-01,13.418928146362305
2008-08-04,12.83681869506836
2008-08-05,12.985735893249512
2008-08-06,13.114337921142578
2008-08-07,13.073724746704102
2008-08-08,13.019575119018555
2008-08-11,13.0364990234375
2008-08-12,13.144795417785645
2008-08-13,13.42908000946045
2008-08-14,13.402005195617676
2008-08-15,13.317397117614746
2008-08-18,13.19556713104248
2008-08-19,13.114337921142578
2008-08-20,13.34447193145752
2008-08-21,13.459532737731934
2008-08-22,13.452767372131348
2008-08-25,13.161723136901855
2008-08-26,13.2327880859375
2008-08-27,13.35462474822998
2008-08-28,13.544146537780762
2008-08-29,13.452767372131348
2008-09-02,13.114337921142578
2008-09-03,13.046651840209961
2008-09-04,12.582996368408203
2008-09-05,12.59653091430664
2008-09-08,12.572843551635742
2008-09-09,12.17348861694336
2008-09-10,12.278400421142578
2008-09-11,12.48823356628418
2008-09-12,12.887589454650879
2008-09-15,12.35285758972168
2008-09-16,12.48823356628418
2008-09-17,12.254714965820312
2008-09-18,12.251327514648438
2008-09-19,13.031954765319824
2008-09-22,12.865139961242676
2008-09-23,12.5655517578125
2008-09-24,12.317032814025879
2008-09-25,12.282988548278809
2008-09-26,11.99701976776123
2008-09-29,11.13231086730957
2008-09-30,11.370619773864746
2008-10-01,11.183379173278809
2008-10-02,10.3799409866333
2008-10-03,10.277813911437988
2008-10-06,9.77055835723877
2008-10-07,9.266712188720703
2008-10-08,9.56629467010498
2008-10-09,8.953512191772461
2008-10-10,8.742439270019531
2008-10-13,9.971415519714355
2008-10-14,9.682044982910156
2008-10-15,8.480300903320312
2008-10-16,8.538175582885742
2008-10-17,8.76626968383789
2008-10-20,9.208837509155273
2008-10-21,8.82073974609375
2008-10-22,8.33731460571289
2008-10-23,8.146673202514648
2008-10-24,7.796022415161133
2008-10-27,7.217275619506836
2008-10-28,8.126248359680176
2008-10-29,8.45987606048584
2008-10-30,8.725414276123047
2008-10-31,8.824143409729004
2008-11-03,8.78329086303711
2008-11-04,9.195218086242676
2008-11-05,8.810524940490723
2008-11-06,8.330511093139648
2008-11-07,8.466679573059082
2008-11-10,8.47008991241455
2008-11-11,8.133056640625
2008-11-12,7.615591049194336
2008-11-13,8.235186576843262
2008-11-14,7.734740734100342
2008-11-17,7.574735641479492
2008-11-18,7.489628314971924
2008-11-19,7.040251731872559
2008-11-20,6.767902374267578
2008-11-21,6.842796325683594
2008-11-24,7.237704753875732
2008-11-25,7.503243923187256
2008-11-26,7.847085952758789
2008-11-28,7.881130218505859
2008-12-01,7.213873863220215
2008-12-02,7.493032455444336
2008-12-03,7.479415416717529
2008-12-04,7.3296217918396
2008-12-05,7.465797424316406
2008-12-08,8.027521133422852
2008-12-09,7.942408561706543
2008-12-10,8.187524795532227
2008-12-11,7.833471775054932
2008-12-12,7.864112377166748
2008-12-15,7.847085952758789
2008-12-16,8.327105522155762
2008-12-17,8.333910942077637
2008-12-18,8.013901710510254
2008-12-19,7.849536895751953
2008-12-22,7.563535213470459
2008-12-23,7.535969257354736
