,XLRE
2023-08-28,33.16472625732422
2023-08-29,33.54384994506836
2023-08-30,33.66120147705078
2023-08-31,33.417476654052734
2023-09-01,33.399417877197266
2023-09-05,33.0654296875
2023-09-06,33.00224685668945
2023-09-07,33.27304458618164
2023-09-08,33.056400299072266
2023-09-11,33.07445526123047
2023-09-12,33.07445526123047
2023-09-13,32.74045944213867
2023-09-14,33.33623504638672
2023-09-15,33.20985794067383
2023-09-18,32.91960144042969
2023-09-19,32.746726989746094
2023-09-20,32.8104133605957
2023-09-21,31.673067092895508
2023-09-22,31.454692840576172
2023-09-25,31.400096893310547
2023-09-26,30.845073699951172
2023-09-27,30.57210350036621
2023-09-28,30.890567779541016
2023-09-29,30.999746322631836
2023-10-02,30.435623168945312
2023-10-03,29.880590438842773
2023-10-04,30.199052810668945
2023-10-05,30.417421340942383
2023-10-06,30.535709381103516
2023-10-09,30.936054229736328
2023-10-10,31.045242309570312
2023-10-11,31.673067092895508
2023-10-12,31.254514694213867
2023-10-13,31.245420455932617
2023-10-16,31.563875198364258
2023-10-17,31.400096893310547
2023-10-18,30.708587646484375
2023-10-19,29.953384399414062
2023-10-20,29.798704147338867
2023-10-23,29.543933868408203
2023-10-24,29.916990280151367
2023-10-25,29.289167404174805
2023-10-26,29.907888412475586
2023-10-27,29.43474769592285
2023-10-30,29.52573585510254
2023-10-31,30.117162704467773
2023-11-01,30.2718448638916
2023-11-02,31.20902442932129
2023-11-03,31.946029663085938
2023-11-06,31.509286880493164
2023-11-07,31.245420455932617
2023-11-08,31.427398681640625
2023-11-09,30.945158004760742
2023-11-10,31.290912628173828
2023-11-13,31.02704620361328
2023-11-14,32.70123291015625
2023-11-15,32.7740364074707
2023-11-16,32.764923095703125
2023-11-17,32.7285270690918
2023-11-20,32.98329162597656
2023-11-21,32.81951904296875
2023-11-22,32.91960144042969
2023-11-24,33.04698944091797
2023-11-27,33.16527557373047
2023-11-28,33.34724807739258
2023-11-29,33.60201644897461
2023-11-30,33.87498092651367
2023-12-01,34.58469009399414
2023-12-04,34.77577209472656
2023-12-05,34.630184173583984
2023-12-06,34.51190185546875
2023-12-07,34.557395935058594
2023-12-08,34.48461151123047
2023-12-11,34.60289001464844
2023-12-12,34.593788146972656
2023-12-13,35.849430084228516
2023-12-14,36.841209411621094
2023-12-15,36.39536666870117
2023-12-18,36.295127868652344
2023-12-19,36.54341125488281
2023-12-20,36.0836296081543
2023-12-21,36.3870849609375
2023-12-22,36.53421401977539
2023-12-26,36.8008918762207
2023-12-27,37.012386322021484
2023-12-28,37.242279052734375
2023-12-29,36.837669372558594
2024-01-02,37.17790603637695
2024-01-03,36.295127868652344
2024-01-04,36.20316696166992
2024-01-05,36.12961196899414
2024-01-08,36.62617111206055
2024-01-09,36.36869430541992
2024-01-10,36.42387008666992
2024-01-11,36.0836296081543
2024-01-12,36.359500885009766
2024-01-16,36.1388053894043
2024-01-17,35.476722717285156
2024-01-18,35.246829986572266
2024-01-19,35.58706283569336
2024-01-22,35.752586364746094
2024-01-23,35.559486389160156
2024-01-24,35.072113037109375
2024-01-25,35.55029296875
2024-01-26,35.393959045410156
2024-01-29,35.65143966674805
2024-01-30,35.320396423339844
2024-01-31,35.06291961669922
2024-02-01,35.67902374267578
2024-02-02,35.22843933105469
2024-02-05,34.529563903808594
2024-02-06,35.0537223815918
2024-02-07,35.03532791137695
2024-02-08,35.22843933105469
2024-02-09,35.320396423339844
2024-02-12,35.21004867553711
2024-02-13,34.566349029541016
2024-02-14,34.796241760253906
2024-02-15,35.6330451965332
