,XLF
2022-06-16,28.649620056152344
2022-06-17,28.73322868347168
2022-06-21,29.306657791137695
2022-06-22,29.24128532409668
2022-06-23,29.129213333129883
2022-06-24,30.203231811523438
2022-06-27,30.100496292114258
2022-06-28,29.80164337158203
2022-06-29,29.63353157043457
2022-06-30,29.37203598022461
2022-07-01,29.77362060546875
2022-07-05,29.6708927154541
2022-07-06,29.59617805480957
2022-07-07,30.025787353515625
2022-07-08,29.960411071777344
2022-07-11,29.717588424682617
2022-07-12,29.530807495117188
2022-07-13,29.269304275512695
2022-07-14,28.708946228027344
2022-07-15,29.68023109436035
2022-07-18,29.56816291809082
2022-07-19,30.455398559570312
2022-07-20,30.56746482849121
2022-07-21,30.763586044311523
2022-07-22,30.586143493652344
2022-07-25,30.78226661682129
2022-07-26,30.352663040161133
2022-07-27,30.81962776184082
2022-07-28,31.04376220703125
2022-07-29,31.482715606689453
2022-08-01,31.221206665039062
2022-08-02,30.875656127929688
2022-08-03,31.34262466430664
2022-08-04,31.239896774291992
2022-08-05,31.464027404785156
2022-08-08,31.445354461669922
2022-08-09,31.604129791259766
2022-08-10,32.31390380859375
2022-08-11,32.696815490722656
2022-08-12,33.210479736328125
2022-08-15,33.20113754272461
2022-08-16,33.44396209716797
2022-08-17,33.27585983276367
2022-08-18,33.313201904296875
2022-08-19,32.650123596191406
2022-08-22,31.931001663208008
2022-08-23,31.800256729125977
2022-08-24,31.968353271484375
2022-08-25,32.46333694458008
2022-08-26,31.492053985595703
2022-08-29,31.267906188964844
2022-08-30,31.099802017211914
2022-08-31,30.866323471069336
2022-09-01,30.95970916748047
2022-09-02,30.716882705688477
2022-09-06,30.642173767089844
2022-09-07,31.24923324584961
2022-09-08,31.800256729125977
2022-09-09,32.08976745605469
2022-09-12,32.35126495361328
2022-09-13,31.146495819091797
2022-09-14,31.053110122680664
2022-09-15,31.155839920043945
2022-09-16,30.875656127929688
2022-09-19,31.225847244262695
2022-09-20,30.76581573486328
2022-09-21,30.127405166625977
2022-09-22,29.62042999267578
2022-09-23,29.151004791259766
2022-09-26,28.690977096557617
2022-09-27,28.56892967224121
2022-09-28,29.132232666015625
2022-09-29,28.76608657836914
2022-09-30,28.503211975097656
2022-10-03,29.27305793762207
2022-10-04,30.36211395263672
2022-10-05,30.127405166625977
2022-10-06,29.704923629760742
2022-10-07,29.000795364379883
2022-10-10,28.869356155395508
2022-10-11,28.503211975097656
2022-10-12,28.43749237060547
2022-10-13,29.611040115356445
2022-10-14,29.113454818725586
2022-10-17,29.845754623413086
2022-10-18,30.324554443359375
2022-10-19,29.826974868774414
2022-10-20,29.34816551208496
2022-10-21,30.221290588378906
2022-10-24,30.62498664855957
2022-10-25,30.991134643554688
2022-10-26,31.06624412536621
2022-10-27,31.319734573364258
2022-10-28,32.098976135253906
2022-10-31,31.90181541442871
2022-11-01,31.98631477355957
2022-11-02,31.58260726928711
2022-11-03,31.263399124145508
2022-11-04,31.836095809936523
2022-11-07,32.155303955078125
2022-11-08,32.34306716918945
2022-11-09,31.798538208007812
2022-11-10,33.40395736694336
2022-11-11,33.67621994018555
2022-11-14,33.197410583496094
2022-11-15,33.272518157958984
2022-11-16,33.112911224365234
2022-11-17,32.934539794921875
2022-11-18,33.2067985534668
2022-11-21,33.3100700378418
2022-11-22,33.64805603027344
2022-11-23,33.78887939453125
2022-11-25,33.901546478271484
2022-11-28,33.319454193115234
2022-11-29,33.51662063598633
2022-11-30,34.08932113647461
2022-12-01,33.892154693603516
2022-12-02,33.73256301879883
2022-12-05,32.8969841003418
2022-12-06,32.6059455871582
2022-12-07,32.47450637817383
2022-12-08,32.50266647338867
2022-12-09,32.41818618774414
2022-12-12,32.85004806518555
2022-12-13,32.934539794921875
2022-12-14,32.521446228027344
2022-12-15,31.883033752441406
2022-12-16,31.638938903808594
2022-12-19,31.55391502380371
2022-12-20,31.686166763305664
2022-12-21,32.177433013916016
2022-12-22,31.894020080566406
2022-12-23,32.07350158691406
2022-12-27,32.064064025878906
2022-12-28,31.950695037841797
2022-12-29,32.39471435546875
2022-12-30,32.309688568115234
2023-01-03,32.42306137084961
2023-01-04,32.94265365600586
2023-01-05,32.6970329284668
2023-01-06,33.42448043823242
2023-01-09,33.301666259765625
2023-01-10,33.490604400634766
2023-01-11,33.80236053466797
2023-01-12,33.868492126464844
2023-01-13,34.12356948852539
2023-01-17,33.8968391418457
2023-01-18,33.26387405395508
2023-01-19,32.876522064208984
2023-01-20,33.3961296081543
2023-01-23,33.78346633911133
2023-01-24,33.80236053466797
2023-01-25,34.066890716552734
2023-01-26,34.24638366699219
2023-01-27,34.24638366699219
2023-01-30,34.07633590698242
2023-01-31,34.53924560546875
2023-02-01,34.53924560546875
2023-02-02,34.633731842041016
2023-02-03,34.567596435546875
2023-02-06,34.55814743041992
2023-02-07,34.95493698120117
2023-02-08,34.74708557128906
2023-02-09,34.3597526550293
2023-02-10,34.47312545776367
2023-02-13,34.86990737915039
2023-02-14,34.680965423583984
2023-02-15,34.71875
2023-02-16,34.36920166015625
2023-02-17,34.37864685058594
2023-02-21,33.67009735107422
2023-02-22,33.6323127746582
2023-02-23,33.6606559753418
2023-02-24,33.688995361328125
2023-02-27,33.6795539855957
2023-02-28,33.745689392089844
2023-03-01,33.6323127746582
2023-03-02,33.47170639038086
2023-03-03,34.00075149536133
2023-03-06,34.02910614013672
2023-03-07,33.1505012512207
2023-03-08,33.027687072753906
2023-03-09,31.686166763305664
2023-03-10,31.10988998413086
2023-03-13,29.881744384765625
2023-03-14,30.486366271972656
2023-03-15,29.673904418945312
2023-03-16,30.240739822387695
2023-03-17,29.267669677734375
2023-03-20,29.59331703186035
2023-03-21,30.343355178833008
2023-03-22,29.640789031982422
2023-03-23,29.441410064697266
2023-03-24,29.42242431640625
2023-03-27,29.830671310424805
2023-03-28,29.82118034362793
2023-03-29,30.257909774780273
2023-03-30,30.191448211669922
2023-03-31,30.523752212524414
2023-04-03,30.58070945739746
2023-04-04,30.295886993408203
2023-04-05,30.257909774780273
2023-04-06,30.371841430664062
2023-04-10,30.43829917907715
2023-04-11,30.70413589477539
2023-04-12,30.637676239013672
2023-04-13,30.91301155090332
2023-04-14,31.216827392578125
2023-04-17,31.577594757080078
2023-04-18,31.672544479370117
2023-04-19,31.748489379882812
2023-04-20,31.653549194335938
2023-04-21,31.53961944580078
2023-04-24,31.463672637939453
2023-04-25,30.922502517700195
2023-04-26,30.6281795501709
2023-04-27,31.12187957763672
2023-04-28,31.492149353027344
2023-05-01,31.406705856323242
2023-05-02,30.694639205932617
2023-05-03,30.343355178833008
2023-05-04,29.954097747802734
2023-05-05,30.694639205932617
2023-05-08,30.74212074279785
2023-05-09,30.6281795501709
2023-05-10,30.457292556762695
2023-05-11,30.40981674194336
2023-05-12,30.286392211914062
2023-05-15,30.533241271972656
2023-05-16,30.2484188079834
2023-05-17,30.856042861938477
2023-05-18,31.08390235900879
2023-05-19,30.95098304748535
2023-05-22,31.007951736450195
2023-05-23,30.647171020507812
2023-05-24,30.2484188079834
2023-05-25,30.238922119140625
2023-05-26,30.48577117919922
2023-05-30,30.476276397705078
2023-05-31,30.153474807739258
2023-06-01,30.476276397705078
2023-06-02,31.140871047973633
2023-06-05,30.97946548461914
2023-06-06,31.368724822998047
2023-06-07,31.492149353027344
2023-06-08,31.463672637939453
2023-06-09,31.473167419433594
2023-06-12,31.463672637939453
2023-06-13,31.653549194335938
2023-06-14,31.530134201049805
2023-06-15,31.94786834716797
2023-06-16,31.88141441345215
2023-06-20,31.64299774169922
2023-06-21,31.60484504699707
2023-06-22,31.356887817382812
2023-06-23,31.223379135131836
2023-06-26,31.156620025634766
2023-06-27,31.404573440551758
2023-06-28,31.328279495239258
2023-06-29,31.871885299682617
2023-06-30,32.1484375
2023-07-03,32.32964324951172
2023-07-05,32.26288986206055
2023-07-06,31.9863224029541
2023-07-07,32.03400421142578
2023-07-10,32.177059173583984
2023-07-11,32.55852508544922
2023-07-12,32.76833724975586
2023-07-13,32.882774353027344
2023-07-14,32.66343688964844
2023-07-17,32.978145599365234
2023-07-18,33.35007858276367
2023-07-19,33.49312210083008
2023-07-20,33.741085052490234
2023-07-21,33.62663650512695
2023-07-24,33.95089340209961
2023-07-25,33.731544494628906
2023-07-26,33.931819915771484
2023-07-27,33.502662658691406
2023-07-28,33.56943130493164
2023-07-31,33.69340515136719
2023-08-01,33.69340515136719
2023-08-02,33.40729522705078
2023-08-03,33.426368713378906
2023-08-04,33.29285430908203
2023-08-07,33.760162353515625
2023-08-08,33.454986572265625
2023-08-09,33.20702362060547
2023-08-10,33.235626220703125
2023-08-11,33.302391052246094
2023-08-14,33.235626220703125
2023-08-15,32.625282287597656
2023-08-16,32.577598571777344
2023-08-17,32.415470123291016
2023-08-18,32.40592575073242
2023-08-21,32.36778259277344
2023-08-22,32.06260681152344
2023-08-23,32.3773307800293
2023-08-24,32.26288986206055
2023-08-25,32.415470123291016
2023-08-28,32.5966682434082
2023-08-29,32.892303466796875
2023-08-30,32.91138458251953
2023-08-31,32.78740692138672
2023-09-01,33.08303451538086
2023-09-05,32.74925994873047
2023-09-06,32.73018264770508
2023-09-07,32.64434814453125
2023-09-08,32.71110916137695
2023-09-11,32.86370086669922
2023-09-12,33.08303451538086
2023-09-13,33.08303451538086
2023-09-14,33.38821792602539
2023-09-15,33.2165641784668
2023-09-18,33.30756378173828
2023-09-19,33.26924133300781
2023-09-20,33.03934860229492
2023-09-21,32.49332046508789
2023-09-22,32.24425506591797
2023-09-25,32.320884704589844
2023-09-26,31.889816284179688
2023-09-27,31.8419132232666
2023-09-28,32.07182693481445
2023-09-29,31.774858474731445
2023-10-02,31.50663948059082
2023-10-03,31.008512496948242
2023-10-04,31.23841667175293
2023-10-05,31.382102966308594
2023-10-06,31.650327682495117
2023-10-09,31.669490814208984
2023-10-10,31.89939308166504
2023-10-11,31.94728660583496
2023-10-12,31.746122360229492
2023-10-13,31.81317710876465
2023-10-16,32.14845657348633
