,XLV
2002-10-21,18.935697555541992
2002-10-22,18.584035873413086
2002-10-23,18.46230697631836
2002-10-24,18.157987594604492
2002-10-25,18.489360809326172
2002-10-28,18.408201217651367
2002-10-29,18.178264617919922
2002-10-30,18.30000877380371
2002-10-31,18.164737701416016
2002-11-01,18.347333908081055
2002-11-04,18.374387741088867
2002-11-05,18.60433006286621
2002-11-06,18.98303985595703
2002-11-07,18.901885986328125
2002-11-08,18.7801513671875
2002-11-11,18.52316665649414
2002-11-12,18.53670310974121
2002-11-13,18.320287704467773
2002-11-14,18.611087799072266
2002-11-15,18.78692054748535
2002-11-18,18.685476303100586
2002-11-19,18.665191650390625
2002-11-20,18.834257125854492
2002-11-21,18.935697555541992
2002-11-22,18.800447463989258
2002-11-25,18.746341705322266
2002-11-26,18.448781967163086
2002-11-27,18.800447463989258
2002-11-29,18.72605323791504
2002-12-02,18.556991577148438
2002-12-03,18.43525505065918
2002-12-04,18.60433006286621
2002-12-05,18.496122360229492
2002-12-06,18.577266693115234
2002-12-09,18.496122360229492
2002-12-10,18.563749313354492
2002-12-11,18.53670310974121
2002-12-12,18.347333908081055
2002-12-13,18.24590301513672
2002-12-16,18.428483963012695
2002-12-17,18.185035705566406
2002-12-18,18.130924224853516
2002-12-19,17.955101013183594
2002-12-20,18.11054229736328
2002-12-23,18.2259464263916
2002-12-24,18.327762603759766
2002-12-26,18.01551628112793
2002-12-27,17.777935028076172
2002-12-30,17.94084358215332
2002-12-31,18.022302627563477
2003-01-02,18.511043548583984
2003-01-03,18.701112747192383
2003-01-06,18.90475082397461
2003-01-07,18.633222579956055
2003-01-08,18.49068832397461
2003-01-09,18.680736541748047
2003-01-10,18.673961639404297
2003-01-13,18.687530517578125
2003-01-14,18.673961639404297
2003-01-15,18.46353530883789
2003-01-16,18.40921974182129
2003-01-17,18.395641326904297
2003-01-21,18.259883880615234
2003-01-22,18.212371826171875
2003-01-23,18.26667022705078
2003-01-24,17.866174697875977
2003-01-27,17.472471237182617
2003-01-28,17.771146774291992
2003-01-29,17.94084358215332
2003-01-30,17.608224868774414
2003-01-31,17.961214065551758
2003-02-03,17.88653564453125
2003-02-04,17.67610740661621
2003-02-05,17.547134399414062
2003-02-06,17.513193130493164
2003-02-07,17.479265213012695
2003-02-10,17.608224868774414
2003-02-11,17.404584884643555
2003-02-12,17.20773696899414
2003-02-13,17.004093170166016
2003-02-14,17.1873722076416
2003-02-18,17.608224868774414
2003-02-19,17.526775360107422
2003-02-20,17.329925537109375
2003-02-21,17.506412506103516
2003-02-24,17.275617599487305
2003-02-25,17.391010284423828
2003-02-26,17.295984268188477
2003-02-27,17.513193130493164
2003-02-28,17.56070899963379
2003-03-03,17.472471237182617
2003-03-04,17.28240394592285
2003-03-05,17.44532012939453
2003-03-06,17.479265213012695
2003-03-07,17.648956298828125
2003-03-10,17.35028839111328
2003-03-11,17.119491577148438
2003-03-12,17.17379379272461
2003-03-13,17.418169021606445
