,XLK
2024-04-30,96.7872314453125
2024-05-01,95.7960205078125
2024-05-02,97.17681884765625
2024-05-03,99.88410186767578
2024-05-06,101.05775451660156
2024-05-07,100.72734069824219
2024-05-08,101.01338195800781
2024-05-09,100.98379516601562
2024-05-10,101.35855865478516
2024-05-13,101.83690643310547
2024-05-14,102.73934936523438
2024-05-15,105.05213928222656
2024-05-16,104.68720245361328
2024-05-17,104.45545196533203
2024-05-20,105.683349609375
2024-05-21,105.85594177246094
2024-05-22,106.09265899658203
2024-05-23,105.22966003417969
2024-05-24,106.11730194091797
2024-05-28,106.5660629272461
2024-05-29,105.89046478271484
2024-05-30,103.47411346435547
2024-05-31,103.63684844970703
2024-06-03,103.89820098876953
2024-06-04,104.11518096923828
2024-06-05,106.427978515625
2024-06-06,106.07292938232422
2024-06-07,106.31949615478516
2024-06-10,106.59070587158203
2024-06-11,108.57310485839844
2024-06-12,110.97465515136719
2024-06-13,111.85243225097656
2024-06-14,112.2716064453125
2024-06-17,113.97290802001953
2024-06-18,114.11593627929688
2024-06-20,112.83377838134766
2024-06-21,112.63652038574219
2024-06-24,109.87507629394531
2024-06-25,111.89057922363281
2024-06-26,111.76215362548828
2024-06-27,111.81649780273438
2024-06-28,111.75720977783203
2024-07-01,112.6019515991211
2024-07-02,113.16510009765625
2024-07-03,114.69155883789062
2024-07-05,115.04228973388672
2024-07-08,115.82775115966797
2024-07-09,115.73389434814453
2024-07-10,117.41348266601562
2024-07-11,114.47419738769531
2024-07-12,115.49677276611328
2024-07-15,115.70425415039062
2024-07-16,115.31893157958984
2024-07-17,110.83342742919922
2024-07-18,110.84330749511719
2024-07-19,109.109375
2024-07-22,111.69298553466797
2024-07-23,111.2483901977539
2024-07-24,106.64433288574219
2024-07-25,105.50320434570312
2024-07-26,106.8419189453125
2024-07-29,106.3676986694336
2024-07-30,103.69515991210938
2024-07-31,108.08679962158203
2024-08-01,104.05577087402344
2024-08-02,101.13131713867188
2024-08-05,97.7622299194336
2024-08-06,99.0910873413086
2024-08-07,97.48560333251953
2024-08-08,101.12637329101562
2024-08-09,101.58084106445312
2024-08-12,102.4107666015625
2024-08-13,105.5575180053711
2024-08-14,106.13550567626953
2024-08-15,109.18842315673828
2024-08-16,109.3711929321289
2024-08-19,111.17428588867188
2024-08-20,110.78402709960938
2024-08-21,111.43611145019531
2024-08-22,108.87224578857422
2024-08-23,110.63582611083984
2024-08-26,109.24769592285156
2024-08-27,109.90966033935547
2024-08-28,108.39308166503906
2024-08-29,107.41496276855469
2024-08-30,108.84261322021484
2024-09-03,103.84336853027344
2024-09-04,103.57659149169922
2024-09-05,103.41852569580078
2024-09-06,100.7361068725586
2024-09-09,102.38606262207031
2024-09-10,103.9174575805664
2024-09-11,107.46434783935547
2024-09-12,108.35356903076172
2024-09-13,108.89697265625
2024-09-16,108.48200225830078
2024-09-17,108.26958465576172
2024-09-18,107.28157806396484
2024-09-19,110.4678726196289
2024-09-20,109.9294204711914
2024-09-23,109.90912628173828
2024-09-24,110.6613540649414
2024-09-25,110.97808074951172
2024-09-26,112.44789123535156
2024-09-27,111.39872741699219
2024-09-30,111.72534942626953
2024-10-01,109.00348663330078
2024-10-02,109.8101577758789
2024-10-03,110.26544189453125
2024-10-04,111.49275207519531
2024-10-07,110.72569274902344
2024-10-08,112.7943115234375
2024-10-09,114.05626678466797
2024-10-10,114.02657318115234
2024-10-11,114.22451782226562
2024-10-14,115.71414184570312
2024-10-15,113.17041778564453
2024-10-16,113.52178955078125
2024-10-17,113.86820983886719
2024-10-18,114.27401733398438
2024-10-21,114.8084945678711
2024-10-22,114.6897201538086
2024-10-23,113.04670715332031
2024-10-24,113.3782730102539
2024-10-25,113.9671859741211
2024-10-28,113.93254852294922
2024-10-29,115.46669006347656
2024-10-30,113.63066101074219
2024-10-31,109.98336029052734
2024-11-01,110.809814453125
2024-11-04,110.72569274902344
2024-11-05,112.2845687866211
2024-11-06,115.48153686523438
2024-11-07,117.49571990966797
2024-11-08,117.3670425415039
2024-11-11,116.71875762939453
2024-11-12,116.8672103881836
2024-11-13,116.46141052246094
2024-11-14,116.06549072265625
2024-11-15,113.18527221679688
2024-11-18,113.55146789550781
2024-11-19,114.48187255859375
2024-11-20,114.38288879394531
2024-11-21,115.54585266113281
2024-11-22,115.60525512695312
2024-11-25,115.60031127929688
2024-11-26,116.17932891845703
2024-11-27,114.60558319091797
2024-11-29,115.66958618164062
2024-12-02,116.76823425292969
2024-12-03,117.18888854980469
2024-12-04,119.33174896240234
2024-12-05,118.72798156738281
2024-12-06,119.188232421875
2024-12-09,118.41126251220703
2024-12-10,116.76823425292969
2024-12-11,118.46073913574219
2024-12-12,117.797607421875
2024-12-13,118.30237579345703
2024-12-16,119.48516082763672
2024-12-17,118.76262664794922
2024-12-18,114.93222045898438
2024-12-19,115.05593872070312
2024-12-20,116.773193359375
2024-12-23,118.01045227050781
2024-12-24,119.22985076904297
2024-12-26,119.30916595458984
2024-12-27,117.72294616699219
2024-12-30,116.2259292602539
2024-12-31,115.25931549072266
2025-01-02,114.9866943359375
2025-01-03,116.86042785644531
2025-01-06,118.34751892089844
2025-01-07,115.97314453125
2025-01-08,115.9334716796875
2025-01-10,113.40542602539062
2025-01-13,112.60240173339844
2025-01-14,112.89981079101562
2025-01-15,115.14531707763672
2025-01-16,114.25802612304688
2025-01-17,116.04747772216797
2025-01-21,117.01408386230469
2025-01-22,119.65615844726562
2025-01-23,119.86930084228516
2025-01-24,118.62015533447266
2025-01-27,112.80563354492188
2025-01-28,115.81451416015625
2025-01-29,114.87268829345703
2025-01-30,115.08583068847656
